"REF_DATE","GEO","DGUID","Gender","Type of migrant","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004/2005","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","36827","","","","0"
"2005/2006","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","34553","","","","0"
"2006/2007","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","35325","","","","0"
"2007/2008","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","37449","","","","0"
"2008/2009","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","36871","","","","0"
"2009/2010","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","41524","","","","0"
"2010/2011","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","38508","","","","0"
"2011/2012","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","42411","","","","0"
"2012/2013","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","39964","","","","0"
"2013/2014","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","45720","","","","0"
"2014/2015","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","40063","","","","0"
"2015/2016","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","55582","","","","0"
"2016/2017","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","49685","","","","0"
"2017/2018","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","66736","","","","0"
"2018/2019","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","65154","","","","0"
"2019/2020","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","63640","","","","0"
"2020/2021","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","56117","","","","0"
"2021/2022","Canada","2021A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","114617","","","","0"
